Date,Distance Walking/Running,Steps,Distance Swimming,Strokes,Distance Cycling,Distance Wheelchair,Distance Downhill Snowsports
2023-12-31,3156.92,4700.00,0.00,0.00,0.00,0.00,0.00
2024-01-01,2421.27,3452.00,0.00,0.00,0.00,0.00,0.00
2024-01-02,2613.81,3724.00,0.00,0.00,0.00,0.00,0.00
2024-01-03,4403.36,6013.00,0.00,0.00,0.00,0.00,0.00
2024-01-04,3142.68,4376.00,0.00,0.00,0.00,0.00,0.00
2024-01-05,685.98,1155.00,0.00,0.00,0.00,0.00,0.00
2024-01-06,1424.00,2635.00,0.00,0.00,0.00,0.00,0.00
2024-01-07,2871.58,3952.00,0.00,0.00,0.00,0.00,0.00
2024-01-08,3656.23,5202.00,0.00,0.00,0.00,0.00,0.00
2024-01-09,3054.35,4300.00,0.00,0.00,0.00,0.00,0.00
2024-01-10,4709.86,7907.00,0.00,0.00,0.00,0.00,0.00
2024-01-11,7493.66,10248.00,0.00,0.00,0.00,0.00,0.00
2024-01-12,8990.68,13786.00,0.00,0.00,0.00,0.00,0.00
2024-01-13,82.01,127.00,0.00,0.00,0.00,0.00,0.00
2024-01-14,6959.79,9804.00,0.00,0.00,0.00,0.00,0.00
2024-01-15,3833.94,5470.00,0.00,0.00,0.00,0.00,0.00
2024-01-16,4223.01,5976.00,0.00,0.00,0.00,0.00,0.00
2024-01-17,1916.78,3007.00,0.00,0.00,0.00,0.00,0.00
2024-01-18,4003.85,5584.47,0.00,0.00,0.00,0.00,0.00
2024-01-19,180.41,283.53,0.00,0.00,0.00,0.00,0.00
2024-01-20,1607.44,2446.86,0.00,0.00,0.00,0.00,0.00
2024-01-21,4764.62,6678.14,0.00,0.00,0.00,0.00,0.00
2024-01-22,2824.50,4898.00,0.00,0.00,0.00,0.00,0.00
2024-01-23,8179.08,10527.00,0.00,0.00,0.00,0.00,0.00
2024-01-24,3933.96,5535.00,0.00,0.00,0.00,0.00,0.00
2024-01-25,2536.57,3561.00,0.00,0.00,0.00,0.00,0.00
2024-01-26,6723.51,9178.13,0.00,0.00,0.00,0.00,0.00
2024-01-27,4060.45,6169.00,0.00,0.00,0.00,0.00,0.00
2024-01-28,2352.19,3818.00,0.00,0.00,0.00,0.00,0.00
2024-01-29,3497.38,5409.00,0.00,0.00,0.00,0.00,0.00
2024-01-30,2283.38,3223.90,0.00,0.00,0.00,0.00,0.00
2024-01-31,5745.85,7745.00,0.00,0.00,0.00,0.00,0.00
2024-02-01,4564.71,6294.00,0.00,0.00,0.00,0.00,0.00
2024-02-02,737.20,1250.00,0.00,0.00,0.00,0.00,0.00
2024-02-03,549.11,921.00,0.00,0.00,0.00,0.00,0.00
2024-02-04,2914.41,4555.00,0.00,0.00,0.00,0.00,0.00
2024-02-05,5260.58,7358.00,0.00,0.00,0.00,0.00,0.00
2024-02-06,2900.72,4198.00,0.00,0.00,0.00,0.00,0.00
2024-02-07,2698.74,4573.00,0.00,0.00,0.00,0.00,0.00
2024-02-08,3989.69,5885.00,0.00,0.00,0.00,0.00,0.00
2024-02-09,3974.77,7264.00,0.00,0.00,0.00,0.00,0.00
2024-02-10,2251.84,4043.35,0.00,0.00,0.00,0.00,0.00
2024-02-11,3815.85,5556.00,0.00,0.00,0.00,0.00,0.00
2024-02-12,3018.91,4006.00,0.00,0.00,0.00,0.00,0.00
2024-02-13,954.42,1417.00,0.00,0.00,0.00,0.00,0.00
2024-02-14,3577.08,5141.00,0.00,0.00,0.00,0.00,0.00
2024-02-15,10679.64,14740.00,0.00,0.00,0.00,0.00,0.00
2024-02-16,2586.76,4205.00,0.00,0.00,0.00,0.00,0.00
2024-02-17,225.69,360.00,0.00,0.00,0.00,0.00,0.00
2024-02-18,4105.93,5787.00,0.00,0.00,0.00,0.00,0.00
2024-02-19,2702.92,3726.00,0.00,0.00,0.00,0.00,0.00
2024-02-20,2821.22,3905.00,0.00,0.00,0.00,0.00,0.00
2024-02-21,2573.06,3507.00,0.00,0.00,0.00,0.00,0.00
2024-02-22,2085.03,2895.00,0.00,0.00,0.00,0.00,0.00
2024-02-23,4876.56,6708.00,0.00,0.00,0.00,0.00,0.00
2024-02-24,1233.97,1696.00,0.00,0.00,0.00,0.00,0.00
2024-02-25,7023.44,9684.00,0.00,0.00,0.00,0.00,0.00
2024-02-26,8610.51,11885.00,0.00,0.00,0.00,0.00,0.00
2024-02-27,7163.77,12394.00,0.00,0.00,0.00,0.00,0.00
2024-02-28,4785.45,6738.36,0.00,0.00,0.00,0.00,0.00
2024-02-29,4070.04,5716.64,0.00,0.00,0.00,0.00,0.00
2024-03-01,3722.67,5332.06,0.00,0.00,1032.90,0.00,0.00
2024-03-02,3177.26,4619.00,0.00,0.00,0.00,0.00,0.00
2024-03-03,1962.95,2881.00,0.00,0.00,0.00,0.00,0.00
2024-03-04,2696.55,3777.87,0.00,0.00,0.00,0.00,0.00
2024-03-05,8087.87,10917.00,0.00,0.00,0.00,0.00,0.00
2024-03-06,4062.02,5482.00,0.00,0.00,0.00,0.00,0.00
2024-03-07,11945.11,16785.00,0.00,0.00,0.00,0.00,0.00
2024-03-08,11406.32,16925.80,0.00,0.00,0.00,0.00,0.00
2024-03-09,6924.69,10588.11,0.00,0.00,0.00,0.00,0.00
2024-03-10,8293.60,11268.00,0.00,0.00,0.00,0.00,0.00
2024-03-11,4157.69,5930.31,0.00,0.00,0.00,0.00,0.00
2024-03-12,4590.87,6446.00,0.00,0.00,0.00,0.00,0.00
2024-03-13,4089.59,5604.00,0.00,0.00,0.00,0.00,0.00
2024-03-14,3174.56,4494.00,0.00,0.00,0.00,0.00,0.00
2024-03-15,4592.35,6396.00,0.00,0.00,0.00,0.00,0.00
2024-03-16,5646.14,7864.00,0.00,0.00,0.00,0.00,0.00
2024-03-17,3202.30,4555.00,0.00,0.00,0.00,0.00,0.00
2024-03-18,7476.65,10153.00,0.00,0.00,0.00,0.00,0.00
2024-03-19,8839.39,11825.00,0.00,0.00,0.00,0.00,0.00
2024-03-20,7639.90,10194.00,0.00,0.00,0.00,0.00,0.00
2024-03-21,3294.45,4550.00,0.00,0.00,0.00,0.00,0.00
2024-03-22,824.38,1352.00,0.00,0.00,0.00,0.00,0.00
2024-03-23,6428.78,10722.00,0.00,0.00,0.00,0.00,0.00
2024-03-24,2765.20,3855.00,0.00,0.00,0.00,0.00,0.00
2024-03-25,3315.14,4672.00,0.00,0.00,0.00,0.00,0.00
2024-03-26,2565.12,3917.00,0.00,0.00,0.00,0.00,0.00
2024-03-27,6035.47,9240.00,0.00,0.00,0.00,0.00,0.00
2024-03-28,3678.08,5005.00,0.00,0.00,0.00,0.00,0.00
2024-03-29,275.46,457.00,0.00,0.00,0.00,0.00,0.00
2024-03-30,5688.09,8267.10,0.00,0.00,0.00,0.00,0.00
2024-03-31,3255.10,4442.90,0.00,0.00,0.00,0.00,0.00
2024-04-01,3556.47,5656.00,0.00,0.00,0.00,0.00,0.00
2024-04-02,4668.77,6537.36,0.00,0.00,0.00,0.00,0.00
2024-04-03,2634.44,3968.00,0.00,0.00,0.00,0.00,0.00
2024-04-04,2993.65,4505.00,0.00,0.00,0.00,0.00,0.00
2024-04-05,5879.07,7891.92,0.00,0.00,0.00,0.00,0.00
2024-04-06,2284.69,3164.00,0.00,0.00,0.00,0.00,0.00
2024-04-07,8451.39,11399.00,0.00,0.00,0.00,0.00,0.00
2024-04-08,2962.89,4183.00,0.00,0.00,0.00,0.00,0.00
2024-04-09,3373.26,4776.09,0.00,0.00,0.00,0.00,0.00
2024-04-10,7137.42,9033.91,0.00,0.00,0.00,0.00,0.00
2024-04-11,2612.66,3556.00,0.00,0.00,0.00,0.00,0.00
2024-04-12,5566.89,8223.00,0.00,0.00,0.00,0.00,0.00
2024-04-13,4111.62,6165.00,0.00,0.00,0.00,0.00,0.00
2024-04-14,2871.78,4469.00,0.00,0.00,0.00,0.00,0.00
2024-04-15,7135.49,9578.00,0.00,0.00,0.00,0.00,0.00
2024-04-16,6942.28,9526.00,0.00,0.00,0.00,0.00,0.00
2024-04-17,5300.17,7358.00,0.00,0.00,0.00,0.00,0.00
2024-04-18,2676.40,3873.00,0.00,0.00,0.00,0.00,0.00
2024-04-19,326.42,556.00,0.00,0.00,0.00,0.00,0.00
2024-04-20,1948.36,3248.00,0.00,0.00,0.00,0.00,0.00
2024-04-21,7158.18,9698.00,0.00,0.00,0.00,0.00,0.00
2024-04-22,3134.25,4861.00,0.00,0.00,0.00,0.00,0.00
2024-04-23,1933.06,2773.00,0.00,0.00,0.00,0.00,0.00
2024-04-24,2892.41,4254.00,0.00,0.00,0.00,0.00,0.00
2024-04-25,1597.85,2360.00,0.00,0.00,0.00,0.00,0.00
2024-04-26,212.29,336.00,0.00,0.00,0.00,0.00,0.00
2024-04-27,1915.99,2930.00,0.00,0.00,0.00,0.00,0.00
2024-04-28,2261.89,3192.00,0.00,0.00,0.00,0.00,0.00
2024-04-29,2212.96,3205.00,0.00,0.00,0.00,0.00,0.00
2024-04-30,1257.54,2011.00,0.00,0.00,0.00,0.00,0.00
2024-05-01,4772.09,7466.00,0.00,0.00,0.00,0.00,0.00
2024-05-02,8124.06,12971.00,0.00,0.00,0.00,0.00,0.00
2024-05-03,210.90,347.00,0.00,0.00,0.00,0.00,0.00
2024-05-04,1022.10,1453.00,0.00,0.00,0.00,0.00,0.00
2024-05-05,5554.31,7337.00,0.00,0.00,0.00,0.00,0.00
2024-05-06,7139.13,9350.00,0.00,0.00,0.00,0.00,0.00
2024-05-07,4431.94,5954.00,0.00,0.00,0.00,0.00,0.00
2024-05-08,7052.17,9566.00,0.00,0.00,0.00,0.00,0.00
