Date,Move Actual,Move Goal,Exercise Actual,Exercise Goal,Stand Actual,Stand Goal
2024-12-31,0.00,310.00,0.00,30.00,0,12
2025-01-01,437.72,310.00,67.00,30.00,12,12
2025-01-02,437.42,310.00,81.00,30.00,8,12
2025-01-03,197.50,310.00,36.00,30.00,4,12
2025-01-04,203.07,310.00,48.00,30.00,3,12
2025-01-05,295.39,310.00,47.00,30.00,8,12
2025-01-06,386.93,310.00,64.00,30.00,9,12
2025-01-07,206.40,310.00,11.00,30.00,9,12
2025-01-08,418.05,310.00,60.00,30.00,10,12
2025-01-09,269.43,310.00,44.00,30.00,9,12
2025-01-11,0.00,310.00,0.00,30.00,0,12
2025-01-12,518.32,310.00,99.00,30.00,9,12
2025-01-13,5.07,310.00,3.00,30.00,0,12
2025-01-14,135.83,310.00,16.00,30.00,7,12
2025-01-15,378.18,310.00,69.00,30.00,11,12
2025-01-16,255.62,310.00,33.00,30.00,9,12
2025-01-17,447.17,310.00,73.00,30.00,9,12
2025-01-18,305.06,310.00,50.00,30.00,8,12
2025-01-19,479.78,310.00,70.00,30.00,9,12
2025-01-20,6.25,310.00,0.00,30.00,0,12
2025-01-21,0.00,310.00,0.00,30.00,0,12
2025-01-22,227.55,310.00,11.00,30.00,12,12
2025-01-23,319.87,310.00,34.00,30.00,10,12
2025-01-24,57.20,310.00,5.00,30.00,2,12
2025-01-25,218.87,310.00,16.00,30.00,10,12
2025-01-30,0.00,310.00,0.00,30.00,0,12
2025-01-31,46.65,310.00,3.00,30.00,3,12
2025-02-01,9.70,310.00,0.00,30.00,1,12
2025-02-02,159.12,310.00,18.00,30.00,5,12
2025-02-03,535.87,310.00,67.00,30.00,15,12
2025-02-04,305.82,310.00,33.00,30.00,12,12
2025-02-05,297.70,310.00,52.00,30.00,8,12
2025-02-06,148.90,310.00,16.00,30.00,8,12
2025-02-07,362.00,310.00,61.00,30.00,13,12
2025-02-08,19.31,310.00,0.00,30.00,0,12
2025-02-09,312.80,310.00,42.00,30.00,9,12
2025-02-10,144.93,310.00,10.00,30.00,7,12
2025-02-11,0.00,310.00,0.00,30.00,0,12
2025-02-12,512.69,310.00,93.00,30.00,12,12
2025-02-13,211.28,310.00,18.00,30.00,7,12
2025-02-14,6.95,310.00,2.00,30.00,0,12
2025-02-15,550.62,310.00,88.00,30.00,11,12
2025-02-16,292.23,310.00,42.00,30.00,6,12
2025-02-17,146.78,310.00,9.00,30.00,6,12
2025-02-18,0.09,310.00,0.00,30.00,0,12
2025-02-19,954.81,310.00,177.00,30.00,11,12
