Date,Move Actual,Move Goal,Exercise Actual,Exercise Goal,Stand Actual,Stand Goal
2025-12-31,625.94,600.00,99.00,30.00,10,12
2026-01-01,127.11,600.00,3.00,30.00,9,12
2026-01-02,654.29,600.00,84.00,30.00,10,12
2026-01-03,251.27,600.00,13.00,30.00,12,12
2026-01-04,254.58,600.00,24.00,30.00,12,12
2026-01-05,301.50,600.00,39.00,30.00,11,12
2026-01-06,161.51,600.00,4.00,30.00,12,12
2026-01-07,352.40,600.00,41.00,30.00,12,12
2026-01-08,54.50,600.00,1.00,30.00,2,12
2026-01-09,299.52,600.00,43.00,30.00,8,12
2026-01-10,257.43,600.00,43.00,30.00,9,12
2026-01-11,573.41,600.00,96.00,30.00,11,12
2026-01-12,24.73,600.00,3.00,30.00,1,12
2026-01-13,154.78,600.00,3.00,30.00,9,12
2026-01-14,251.74,600.00,10.00,30.00,9,12
2026-01-15,301.20,600.00,18.00,30.00,10,12
2026-01-16,274.38,600.00,25.00,30.00,9,12
2026-01-17,171.06,600.00,4.00,30.00,10,12
2026-01-18,289.59,600.00,19.00,30.00,13,12
2026-01-19,15.85,600.00,3.00,30.00,2,12
2026-01-20,162.30,600.00,5.00,30.00,8,12
2026-01-21,348.03,600.00,23.00,30.00,12,12
2026-01-22,372.44,600.00,51.00,30.00,12,12
2026-01-23,53.34,600.00,1.00,30.00,4,12
2026-01-24,135.59,600.00,8.00,30.00,6,12
2026-01-25,378.50,600.00,48.00,30.00,11,12
2026-01-26,289.78,600.00,31.00,30.00,7,12
2026-01-27,397.22,600.00,34.00,30.00,15,12
2026-01-28,233.39,600.00,15.00,30.00,11,12
2026-01-29,307.58,600.00,40.00,30.00,11,12
2026-01-30,205.49,600.00,11.00,30.00,10,12
2026-01-31,24.12,600.00,1.00,30.00,2,12
2026-02-01,134.49,600.00,10.00,30.00,4,12
2026-02-02,313.23,600.00,52.00,30.00,6,12
2026-02-03,279.76,600.00,19.00,30.00,10,12
2026-02-04,107.38,600.00,1.00,30.00,6,12
2026-02-05,35.54,600.00,0.00,30.00,2,12
2026-02-06,315.63,600.00,19.00,30.00,13,12
2026-02-07,156.61,600.00,6.00,30.00,9,12
2026-02-08,288.73,600.00,21.00,30.00,12,12
2026-02-09,365.86,600.00,39.00,30.00,10,12
2026-02-10,235.53,600.00,7.00,30.00,12,12
2026-02-11,80.63,600.00,4.00,30.00,3,12
2026-02-12,283.34,600.00,18.00,30.00,11,12
2026-02-13,258.22,600.00,26.00,30.00,7,12
2026-02-14,286.73,600.00,18.00,30.00,10,12
2026-02-15,191.58,600.00,4.00,30.00,12,12
2026-02-16,1.15,600.00,1.00,30.00,0,12
2026-02-17,17.28,600.00,2.00,30.00,2,12
2026-02-18,235.41,600.00,9.00,30.00,14,12
2026-02-19,314.57,600.00,12.00,30.00,14,12
2026-02-20,182.38,600.00,20.00,30.00,7,12
2026-02-21,146.32,600.00,13.00,30.00,7,12
2026-02-22,306.50,600.00,39.00,30.00,9,12
2026-02-23,279.99,600.00,35.00,30.00,11,12
2026-02-24,682.17,600.00,124.00,30.00,12,12
2026-02-25,441.25,600.00,54.00,30.00,14,12
2026-02-26,227.80,600.00,19.00,30.00,10,12
2026-02-27,274.81,600.00,16.00,30.00,9,12
2026-02-28,381.52,600.00,65.00,30.00,7,12
2026-03-01,626.74,600.00,77.00,30.00,14,12
2026-03-02,267.74,600.00,5.00,30.00,10,12
2026-03-03,473.61,600.00,94.00,30.00,9,12
2026-03-04,260.26,600.00,15.00,30.00,14,12
2026-03-05,269.04,600.00,24.00,30.00,12,12
2026-03-06,702.91,600.00,121.00,30.00,13,12
2026-03-07,486.55,600.00,75.00,30.00,8,12
2026-03-08,284.94,600.00,20.00,30.00,11,12
2026-03-09,608.24,600.00,105.00,30.00,15,12
2026-03-10,412.49,600.00,78.00,30.00,8,12
2026-03-11,580.24,600.00,93.00,30.00,14,12
2026-03-12,272.75,600.00,25.00,30.00,9,12
2026-03-13,131.54,600.00,0.00,30.00,8,12
2026-03-14,194.77,600.00,6.00,30.00,10,12
2026-03-15,482.64,600.00,68.00,30.00,9,12
2026-03-16,261.17,600.00,31.00,30.00,9,12
2026-03-17,166.23,600.00,40.00,30.00,3,12
2026-03-18,649.04,600.00,125.00,30.00,10,12
2026-03-19,257.98,600.00,22.00,30.00,7,12
